<<<<<<< HEAD
qi,agent,T,K_louv,K_leid,agee_louv,agee_leid,S_louv,S_leid,I_louv,I_leid,E_louv,E_leid
35,random_walk,10,6,6,0.49706007326486745,0.49706007326486745,0.5524233208256129,0.5524233208256129,0.28449048364080254,0.28449048364080254,0.7817555938037866,0.7817555938037866
36,bfs,10,27,31,0.659897585506532,0.7124965343333174,0.4591770144223521,0.6068425343774072,0.7293472709358053,0.7293472709358053,0.94,0.873015873015873
36,greedy,10,27,31,0.7939738442279227,0.7546008824586801,0.9043270714674932,0.8588146512930659,0.5809319704717955,0.5809319704717955,0.9518072289156626,0.8554216867469879
36,random_walk,10,27,31,0.6206102777988631,0.6845286432471015,0.43528504098178517,0.5813694825692456,0.6413371596347036,0.6413371596347036,0.9493877551020409,0.937641723356009
37,bfs,10,13,13,0.5291811290805664,0.5291811290805664,0.5643826324335385,0.5643826324335385,0.2859351845761132,0.2859351845761132,0.9199999999999999,0.9199999999999999
37,greedy,10,13,13,0.5547967119527936,0.39800502737239823,0.6355739723338955,0.2586783466498019,0.28028365903969943,0.28028365903969943,0.9266666666666667,0.938095238095238
37,random_walk,10,13,13,0.4193255359044121,0.40933637254783367,0.2586783466498019,0.2586783466498019,0.360340053167922,0.360340053167922,0.8761904761904761,0.8190476190476189
38,bfs,10,5,5,0.6882608173068365,0.6882608173068365,0.5792064059431938,0.5792064059431938,0.7692519137301812,0.7692519137301812,0.7619047619047619,0.7619047619047619
38,greedy,10,5,5,0.6457764614274099,0.6457764614274099,0.8008086253369273,0.8008086253369273,0.3678155700352657,0.3678155700352657,0.8714837286265857,0.8714837286265857
38,random_walk,10,5,5,0.6210393392032441,0.6210393392032441,0.748212526285904,0.748212526285904,0.33900862117739583,0.33900862117739583,0.9084210526315788,0.9084210526315788
39,bfs,10,39,40,0.3150611826995094,0.3150611826995094,1.7561143511420904e-05,1.7122114923635383e-05,0.600860229993551,0.600860229993551,1.0,1.0
39,greedy,10,39,40,0.7156281884714847,0.7149274888574845,0.8043647725421781,0.8025082072857496,0.47713442540838374,0.47713442540838374,0.963855421686747,0.963855421686747
39,random_walk,10,39,40,0.6865745149681391,0.6292493801684755,0.870694001927055,0.7035707487300861,0.3854901107702689,0.3854901107702689,0.9066582117945465,0.9248933143669986
40,bfs,10,22,22,0.729883276258077,0.5861764878985081,0.5884116599342339,0.3017753407842935,0.7648438454912375,0.7648438454912375,0.9324324324324325,0.9199999999999999
40,greedy,10,22,22,0.8858203172404188,0.8541127281332733,0.9546053261806684,0.915803269863343,0.7555132433639267,0.7555132433639267,0.9693877551020408,0.8999999999999999
40,random_walk,10,22,22,0.4885934732804411,0.4885934732804411,0.37832232120408554,0.37832232120408577,0.40208991921320686,0.40208991921320686,0.8539682539682538,0.8539682539682538
41,bfs,10,6,6,0.40019209950487766,0.40019209950487766,0.21210942121880966,0.21210942121880966,0.3577417432218114,0.3577417432218114,0.9142857142857144,0.9142857142857144
41,greedy,10,6,6,0.5680971464864253,0.5680971464864253,0.6489728447198471,0.6489728447198471,0.28804108410688756,0.28804108410688756,0.949795918367347,0.949795918367347
41,random_walk,10,6,6,0.190445956301271,0.190445956301271,0.00011444266422522315,0.00011444266422522315,0.17496566720073242,0.17496566720073242,1.0,1.0
42,bfs,10,28,28,0.7749325306352338,0.7133666578462927,0.8655669636191936,0.7528107566039169,0.5504355553240567,0.5504355553240567,0.9879518072289157,0.9054054054054055
42,greedy,10,28,28,0.8525271665142107,0.8525271665142107,0.9615787883762583,0.9615787883762583,0.6571606434489489,0.6571606434489489,0.9789473684210528,0.9789473684210528
42,random_walk,10,28,28,0.775693440506071,0.810777320629853,0.7958578030869717,0.795857803086972,0.7562172379635616,0.7562172379635616,0.7710843373493976,0.9156626506024096
43,bfs,10,2,2,0.5135888735783937,0.5135888735783937,0.49999474049861464,0.49999474049861464,0.28670589758049514,0.28670589758049514,0.9714285714285715,0.9714285714285715
43,greedy,10,2,2,0.492321490177674,0.492321490177674,0.5025802834402379,0.5025802834402379,0.26533456614359785,0.26533456614359785,0.9047619047619048,0.9047619047619048
43,random_walk,10,2,2,0.43486886009314585,0.43486886009314585,0.5040241448692153,0.5040241448692153,0.26533456614359785,0.26533456614359785,0.6095238095238096,0.6095238095238096
44,bfs,10,5,5,0.5767627636399865,0.5767627636399865,0.619248326081731,0.619248326081731,0.3340696733389502,0.3340696733389502,0.94,0.94
44,greedy,10,5,5,0.4944053775847484,0.4944053775847484,0.4973611550210012,0.4973611550210012,0.27411769867734576,0.27411769867734576,0.9047619047619047,0.9047619047619047
44,random_walk,10,5,5,0.5408186549675598,0.5408186549675598,0.5913896415717975,0.5913896415717975,0.3237423616318586,0.3237423616318586,0.8365079365079364,0.8365079365079364
45,bfs,10,9,9,0.5943011610003449,0.5943011610003449,0.6719342869122875,0.6719342869122875,0.38101394774616737,0.38101394774616737,0.8243243243243243,0.8243243243243243
45,greedy,10,9,9,0.6347397212620798,0.6347397212620798,0.8780525524152427,0.8780525524152426,0.3162083196743917,0.3162083196743917,0.8105350248207391,0.8105350248207391
